;temperament;min_height;max_height;min_weight;max_weight;energy_level_value;energy_level_category
Cirneco dell'Etna;Affectionate, Friendly, Independent;41.910000000000004;49.53;7.71107029;11.793401620000001;0.6;Regular Exercise
Clumber Spaniel;Mellow, Amusing, Gentlemanly;43.18;50.8;24.947580350000003;38.55535145;0.6;Regular Exercise
Cocker Spaniel;Gentle, Smart, Happy;34.29;39.37;9.071847400000001;13.6077711;0.6;Regular Exercise
Collie;Devoted, Graceful, Proud;55.88;66.04;22.6796185;34.01942775;0.6;Regular Exercise
Coton de Tulear;Charming, Bright, Happy-Go-Lucky;22.86;27.94;3.62873896;6.80388555;0.6;Regular Exercise
Croatian Sheepdog;Loyal, Active, Alert and Intelligent;40.64;50.8;13.15417873;19.958064280000002;1.0;Needs Lots of Activity
Curly-Coated Retriever;Confident, Proud, Wickedly Smart;58.42;68.58;27.2155422;43.09127515;0.8;Energetic
Czechoslovakian Vlcak;Loyal, Intelligent, Active;59.69;64.77;19.958064280000002;25.85476509;1.0;Needs Lots of Activity
Dachshund;Friendly, Curious, Spunky;12.600;22.86;4.9895160700000005;14.51495584;0.6;Regular Exercise
Dalmatian;Dignified, Smart, Outgoing;48.26;60.96;20.41165665;31.751465900000003;0.6;Regular Exercise
Dandie Dinmont Terrier;Independent, Smart, Proud;20.32;27.94;8.164662660000001;10.886216880000001;0.8;Energetic
Danish-Swedish Farmdog;Energetic, Trainable, Attentive;31.75;36.83;6.80388555;9.071847400000001;0.8;Energetic
Deutscher Wachtelhund;Friendly, Versatile, Determined;45.72;53.34;18.143694800000002;24.947580350000003;0.6;Regular Exercise
Doberman Pinscher;Loyal, Fearless, Alert;60.96;71.12;27.2155422;45.359237;1.0;Needs Lots of Activity
Dogo Argentino;Friendly, Cheerful, Humble;60.96;67.31;39.916128560000004;45.359237;1.0;Needs Lots of Activity
Dogue de Bordeaux;Affectionate, Loyal, Courageous;58.42;66.04;44.905644630000005;49.895160700000005;0.6;Regular Exercise
Drentsche Patrijshond;Loyal, Intelligent, Sensitive;53.34;63.5;21.772433760000002;33.11224301;0.8;Energetic
Drever;Loyal, Even-Tempered, Determined;30.48;38.1;15.875732950000002;18.143694800000002;0.6;Regular Exercise
Dutch Shepherd;Intelligent, Lively, Athletic;54.61;62.230000000000004;19.05087954;34.01942775;1.0;Needs Lots of Activity
English Cocker Spaniel;Energetic, Merry, Responsive;38.1;43.18;11.793401620000001;15.42214058;0.6;Regular Exercise
English Foxhound;Affectionate, Gentle, Sociable;60.96;60.96;27.2155422;34.01942775;0.8;Energetic
English Setter;Friendly, Mellow, Merry;58.42;68.58;20.41165665;36.287389600000004;0.8;Energetic
English Springer Spaniel;Friendly, Playful, Obedient;48.26;50.8;18.143694800000002;22.6796185;0.6;Regular Exercise
English Toy Spaniel;Gentle, Playful, Intelligent;22.86;25.40;3.62873896;6.35029318;0.6;Regular Exercise
Entlebucher Mountain Dog;Loyal, Smart, Enthusiastic;40.64;53.34;18.143694800000002;29.48350405;1.0;Needs Lots of Activity
Estrela Mountain Dog;Alert, Intelligent, Brave;62.230000000000004;73.66;34.926612490000004;59.874192840000006;0.4;Calm
Eurasier;Confident, Calm, Family-Oriented;48.26;60.96;18.143694800000002;31.751465900000003;0.6;Regular Exercise
Field Spaniel;Sweet, Fun-Loving, Sensitive;43.18;45.72;15.875732950000002;22.6796185;0.6;Regular Exercise
Finnish Lapphund;Friendly, Alert, Agile;40.64;53.34;14.968548210000002;24.04039561;0.6;Regular Exercise
Finnish Spitz;Friendly, Good-Natured, Lively;39.37;50.8;9.071847400000001;14.968548210000002;1.0;Needs Lots of Activity
Flat-Coated Retriever;Cheerful, Optimistic, Good-Humored;55.88;62.230000000000004;27.2155422;31.751465900000003;1.0;Needs Lots of Activity
French Bulldog;Adaptable, Playful, Smart;27.94;33.02;12.70058636;12.70058636;0.4;Calm
French Spaniel;Gentle, Sociable, Intelligent;54.61;60.96;22.6796185;27.2155422;;
German Longhaired Pointer;Versatile, Calm, Family-Oriented;55.88;71.12;24.947580350000003;36.287389600000004;0.8;Energetic
German Pinscher;Courageous, Intelligent, Vivacious;43.18;50.8;11.33980925;20.41165665;1.0;Needs Lots of Activity
German Shepherd Dog;Confident, Courageous, Smart;55.88;66.04;22.6796185;40.8233133;0.6;Regular Exercise
German Shorthaired Pointer;Friendly, Smart, Willing to Please;53.34;63.5;20.41165665;31.751465900000003;1.0;Needs Lots of Activity
German Spitz;Devoted, Lively, Attentive;30.48;38.1;10.886216880000001;11.793401620000001;0.6;Regular Exercise
